vendor,model,iOS_version,region3,ruleid,inc_num,call_num,inc_ratio
Apple,A1897,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,1073,668597,0.0016048531
Apple,A1897,12.2,WASHINGTON DC,DROP_CC_481_VOLTE_IMS,1343,668597,0.0020086839
Apple,A1897,12.2,WASHINGTON DC,DROP_CC_503_VOLTE_IMS,540,668597,0.0008076614
Apple,A1897,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,301,668597,0.0004501965
Apple,A1897,12.2,WASHINGTON DC,DROP_CC_408_VOLTE_IMS,74,668597,0.0001106795
Apple,A1784,12.2,WASHINGTON DC,DROP_CC_OTHER_VOLTE_IMS,23,497244,0.0000462550
Apple,A1784,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,620,497244,0.0012468728
Apple,A1784,12.2,WASHINGTON DC,DROP_CC_503_VOLTE_IMS,265,497244,0.0005329376
Apple,A1784,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,230,497244,0.0004625496
Apple,A1784,12.2,WASHINGTON DC,GARBLING_VOLTE_VOICE,44990,497244,0.0904787187
Apple,A1784,12.2,WASHINGTON DC,DROP_CC_408_VOLTE_IMS,54,497244,0.0001085986
Apple,A1784,12.2,WASHINGTON DC,SOFT_DROP_DUE_TO_MEDIA_STOP_VOLTE_IMS,727,497244,0.0014620589
Apple,A1784,12.2,WASHINGTON DC,IMMEDIATE_VOLUNTARY_DROP_DUE_TO_MEDIA_STOP_VOLTE,51,497244,0.0001025653
Apple,A1784,12.2,WASHINGTON DC,MUTING_VOLTE_VOICE,6890,497244,0.0138563763
Apple,A1784,12.2,WASHINGTON DC,CALL_SETUP_DELAY_VOLTE_IMS,2558,497244,0.0051443557
Apple,A1784,12.2,WASHINGTON DC,DROP_CC_481_VOLTE_IMS,950,497244,0.0019105308
Apple,A1905,12.2,WASHINGTON DC,GARBLING_VOLTE_VOICE,35452,394038,0.0899710180
Apple,A1905,12.2,WASHINGTON DC,CALL_SETUP_DELAY_VOLTE_IMS,2169,394038,0.0055045452
Apple,A1905,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_504_SERVER_TIMEOUT_VOLTE_IMS,1,394038,0.0000025378
Apple,A1905,12.2,WASHINGTON DC,MUTING_VOLTE_VOICE,5914,394038,0.0150087047
Apple,A1905,12.2,WASHINGTON DC,DROP_CC_408_VOLTE_IMS,42,394038,0.0001065887
Apple,A1905,12.2,WASHINGTON DC,SOFT_DROP_DUE_TO_MEDIA_STOP_VOLTE_IMS,621,394038,0.0015759901
Apple,A1905,12.2,WASHINGTON DC,IMMEDIATE_VOLUNTARY_DROP_DUE_TO_MEDIA_STOP_VOLTE,34,394038,0.0000862861
